season,phase,competition_group,competition,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,standings_url,scraped_at
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,6,Ben Rhydding W1,18,6,3,9,24,37,-13,21,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=fab4b4af-d4c2-41cb-929a-f67e709c1521,2026-01-31T20:51:23
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,7,Olton & West Warwicks 1,18,6,2,10,29,49,-20,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=fab4b4af-d4c2-41cb-929a-f67e709c1521,2026-01-31T20:51:23
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,8,Pendle Forest 1,18,5,3,10,32,55,-23,18,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=fab4b4af-d4c2-41cb-929a-f67e709c1521,2026-01-31T20:51:23
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,9,Leicester City 1,18,6,0,12,24,50,-26,18,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=fab4b4af-d4c2-41cb-929a-f67e709c1521,2026-01-31T20:51:23
2024-2025,,EH Adult EHL Womens,Womens Division 1 North,10,Wakefield 1,18,1,1,16,16,68,-52,4,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=fab4b4af-d4c2-41cb-929a-f67e709c1521,2026-01-31T20:51:23
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,1,Barnes W1,18,14,1,3,51,21,30,43,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,2,University of Exeter W1,18,12,3,3,43,26,17,39,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,3,Harleston Magpies 1,18,8,5,5,24,24,0,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,4,Guildford 1,18,8,5,5,26,28,-2,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,5,Southgate W1,18,8,4,6,35,33,2,28,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,6,Surbiton W2,18,7,4,7,34,36,-2,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,7,Sevenoaks 1,18,5,5,8,31,33,-2,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,8,Bristol Firebrands 1,18,5,2,11,19,39,-20,17,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,9,Wimbledon W2,18,3,3,12,25,31,-6,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,,EH Adult EHL Womens,Womens Division 1 South,10,Slough 1,18,2,4,12,13,30,-17,10,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=5b419601-48a5-42c5-a0b2-d7cf71e641f9&competition=037bef77-0d28-4f0d-ab6e-4c782dc4c683,2026-01-31T20:52:11
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,1,Old Georgians M1,11,11,0,0,70,16,54,33,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,2,Holcombe M1,11,9,1,1,45,23,22,28,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,3,Surbiton M1,11,8,2,1,53,21,32,26,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,4,Wimbledon M1,11,7,2,2,39,21,18,23,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,5,Hampstead & Westminster M1,11,6,1,4,42,23,19,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,6,Oxted M1,11,4,2,5,30,38,-8,14,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,7,Cardiff & Met,11,4,1,6,21,34,-13,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:49
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,8,East Grinstead M1,11,3,2,6,30,40,-10,11,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:50
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,9,Beeston M1,11,2,4,5,24,29,-5,10,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:50
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,10,Southgate M1,11,1,2,8,19,41,-22,5,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:50
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,11,Richmond M1,11,1,1,9,10,61,-51,4,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:50
2024-2025,Phase 1,EH Adult EHL Open/Mens,Open - Mens Premier Division,12,Bowdon,11,1,0,10,11,47,-36,3,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=f15c4870-c47f-4ff8-9076-ae80ffdd959f,2026-01-31T20:52:50
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,1,Old Georgians M1,16,15,1,0,92,29,63,46,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,2,Surbiton M1,16,12,2,2,74,30,44,38,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,3,Holcombe M1,16,10,2,4,55,35,20,32,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,4,Wimbledon M1,16,9,4,3,54,36,18,31,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,5,Hampstead & Westminster M1,16,7,1,8,53,40,13,22,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Top 6,6,Oxted M1,16,5,2,9,38,59,-21,17,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=985ecff8-5608-4852-8018-46af6e6ad486,2026-01-31T20:53:27
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,1,Beeston M1,16,7,4,5,38,34,4,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:53
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,2,East Grinstead M1,16,5,4,7,43,50,-7,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:53
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,3,Cardiff & Met,16,6,1,9,32,49,-17,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:53
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,4,Southgate M1,16,3,4,9,30,51,-21,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:53
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,5,Bowdon,16,2,1,13,21,61,-40,7,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:53
2024-2025,Phase 2,EH Adult EHL Open/Mens,Open - Mens Premier Division Phase 2 Lower 6,6,Richmond M1,16,1,2,13,16,72,-56,5,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=d2ca3b57-ab5c-43de-b3e2-e7b764d44946,2026-01-31T20:53:54
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,1,Brooklands Manchester University M1,18,15,1,2,64,26,38,46,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:29
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,2,Loughborough Students,18,14,3,1,55,29,26,45,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:29
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,3,University of Nottingham M1,18,13,0,5,53,33,20,39,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:29
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,4,Harborne 1,18,7,3,8,46,45,1,24,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,5,Deeside Ramblers,18,6,3,9,47,56,-9,21,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,6,University of Birmingham,18,6,2,10,38,45,-7,20,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,7,Olton & West Warwicks,18,5,4,9,47,56,-9,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,8,Durham University M1,18,4,7,7,34,46,-12,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,9,Lindum,18,3,4,11,44,63,-19,13,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 North,10,Stourport 1,18,3,1,14,40,69,-29,10,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=da58bbf6-e619-4765-8a1b-974b05f40a78,2026-01-31T20:54:30
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,1,Reading,18,15,1,2,56,27,29,46,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:06
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,2,Indian Gymkhana M1,18,13,3,2,61,43,18,42,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,3,Old Loughtonians Mens 1,18,9,5,4,45,37,8,32,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,4,Sevenoaks,18,9,2,7,55,46,9,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,5,Teddington M1,18,8,5,5,46,41,5,29,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,6,University of Exeter M1,18,8,1,9,47,37,10,25,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,7,Havant,18,5,4,9,36,42,-6,19,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,8,Canterbury,18,4,2,12,35,47,-12,14,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,9,Team Bath Buccaneers,18,3,3,12,30,55,-25,12,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
2024-2025,,EH Adult EHL Open/Mens,Open - Mens Division 1 South,10,University of Bristol,18,3,0,15,24,60,-36,9,https://www.englandhockey.co.uk/competitions/2025-2026-4585604-eh-adult-ehl-womens-group-4585802-womens-premier-division/table?season=14edd6a1-2d0e-447a-8550-68b42882e46d&competition-group=bd254499-a9fd-4c05-8b15-62a61dbb2399&competition=8afe31ef-bb4f-42cc-94ff-a237d4b0514d,2026-01-31T20:55:07
